record_id,file_path,title,doi,pmid
AgostiniM202478,../../04_fulltext/round-01/pdfs/AgostiniM202478.pdf,,,
AgrawalYN202536,../../04_fulltext/round-01/pdfs/AgrawalYN202536.pdf,,,
CogliatiV2022222,../../04_fulltext/round-01/pdfs/CogliatiV2022222.pdf,,,
DegenhardtT2023138,../../04_fulltext/round-01/pdfs/DegenhardtT2023138.pdf,,,
HoraniM202337860199,../../04_fulltext/round-01/pdfs/HoraniM202337860199.pdf,,,
KettnerNM20252,../../04_fulltext/round-01/pdfs/KettnerNM20252.pdf,,,
OgataN202550,../../04_fulltext/round-01/pdfs/OgataN202550.pdf,,,
PalumboR2023179,../../04_fulltext/round-01/pdfs/PalumboR2023179.pdf,,,
PrestiD2019335,../../04_fulltext/round-01/pdfs/PrestiD2019335.pdf,,,
TokunagaE202539379782,../../04_fulltext/round-01/pdfs/TokunagaE202539379782.pdf,,,
